Teams,Match Details
"الإسماعيلي

  1 



انتهت





زد

  2","توقع المباراة

استاد الإسماعيلية                
On Time Sport HD
 18-04-2024 - 20:00"
"الإسماعيلي

  1 



انتهت





زد

  2","توقع المباراة

استاد الإسماعيلية                
On Time Sport HD
 18-04-2024 - 20:00"
"الفتح

  3 



انتهت





الرائد

  1","توقع المباراة

استاد الفتح                
SSC Sport Extra 1
 18-04-2024 - 21:00"
"روما

  2 



انتهت





ميلان

  1","ملعب الأوليمبيكو                
beIN SPORTS 3 HD
 18-04-2024 - 22:00"
"باوك سالونيكي

  0 



انتهت





كلوب بروج

  2","استاد تومبا                
beIN SPORTS 9 HD
 18-04-2024 - 22:00"
"مصر | تحت 17

  1 



انتهت





تونس | تحت 17

  1",18-04-2024 - 19:00
